?AlternativeTitleType_Parallel_title?;4bb300a4-04c9-414b-bfbc-9c032f74b7b2;
?AlternativeTitleType_Uniform_title?;30512027-cdc9-4c79-af75-1565b3bd888d;
?AlternativeTitleType_No_type_specified?;0fe58901-183e-4678-a3aa-0b4751174ba8;
?AlternativeTitleType_Portion_of_title?;a8b45056-2223-43ca-8514-4dd88ece984b;
?AlternativeTitleType_Distinctive_title?;781c04a4-f41e-4ab0-9118-6836e93de3c8;
?AlternativeTitleType_Cover_title?;5c364ce4-c8fd-4891-a28d-bb91c9bcdbfb;
?AlternativeTitleType_Spine_title?;dae08d04-8c4e-4ab2-b6bb-99edbf252231;
?AlternativeTitleType_Running_title?;09964ad1-7aed-49b8-8223-a4c105e3ef87;
?AlternativeTitleType_Added_title_page_title?;2ca8538d-a2fd-4e60-b967-1cb220101e22;
?AlternativeTitleType_Other_title?;2584943f-36ad-4037-a7fa-3bdebb09f452;
?AlternativeTitleType_Caption_title?;432ca81a-fe4d-4249-bfd3-53388725647d;
?CallNumberType_Library_of_Congress_classification?;95467209-6d7b-468b-94df-0f5d7ad2747d;
?CallNumberType_UDC?;d644be8f-deb5-4c4d-8c9e-2291b7c0f46f;
?CallNumberType_National_Library_of_Medicine_classification?;054d460d-d6b9-4469-9e37-7a78a2266655;
?CallNumberType_Dewey_Decimal_classification?;03dd64d0-5626-4ecd-8ece-4531e0069f35;
?CallNumberType_Source_specified_in_subfield_$2?;827a2b64-cbf5-4296-8545-130876e4dfc0;
?CallNumberType_Title?;5ba6b62e-6858-490a-8102-5b1369873835;
?CallNumberType_Shelving_control_number?;28927d76-e097-4f63-8510-e56f2b7a3ad0;
?CallNumberType_Shelved_separately?;cd70562c-dd0b-42f6-aa80-ce803d24d4a1;
?CallNumberType_MOYS?;828ae637-dfa3-4265-a1af-5279c436edff;
?CallNumberType_Other_scheme?;6caca63e-5651-4db6-9247-3205156e9699;
?CallNumberType_Superintendent_of_Documents_classification?;fc388041-6cd0-4806-8a74-ebe3b9ab4c6e;
?CallNumberType_LC_Modified?;512173a7-bd09-490e-b773-17d83f2b63fe;
?ClassificationType_NLM?;a7f4d03f-b0d8-496c-aebf-4e9cdb678200;
?ClassificationType_UDC?;e8662436-75a8-4984-bebc-531e38c774a0;
?ClassificationType_Additional_Dewey?;74c08086-81a4-4466-93d8-d117ce8646db;
?ClassificationType_Dewey?;42471af9-7d25-4f3a-bf78-60d29dcf463b;
?ClassificationType_Canadian_Classification?;ad615f6e-e28c-4343-b4a0-457397c5be3e;
?ClassificationType_LC?;ce176ace-a53e-4b4d-aa89-725ed7b2edac;
?ClassificationType_LC_(local)?;a83699eb-cc23-4307-8043-5a38a8dce335;
?ClassificationType_SUDOC?;9075b5f8-7d97-49e1-a431-73fdd468d476;
?ClassificationType_GDC?;fb12264c-ff3b-47e0-8e09-b0aa074361f1;
?ClassificationType_National_Agricultural_Library?;9a60012a-0fcf-4da9-a1d1-148e818c27ad;
?ContributorNameType_Personal_name?;2b94c631-fca9-4892-a730-03ee529ffe2a;
?ContributorNameType_Corporate_name?;2e48e713-17f3-4c13-a9f8-23845bb210aa;
?ContributorNameType_Meeting_name?;e8b311a6-3b21-43f2-a269-dd9310cb2d0a;
?ContributorType_dgg?;6901fbf1-c038-42eb-a03e-cd65bf91f660;
